Wavelength,Flux,BestFit,SkyFlux
3794.023,31.626,33.812,0.000
3794.897,31.616,34.477,0.000
3795.771,31.607,34.442,0.000
3796.645,31.598,34.949,0.000
3797.519,31.589,35.559,0.000
3798.394,31.579,36.537,0.000
3799.269,31.570,37.285,0.000
3800.144,31.561,37.441,0.000
3801.019,31.552,37.471,0.000
3801.894,31.542,38.324,0.000
3802.769,31.533,39.499,0.000
3803.645,31.524,39.615,0.000
3804.521,31.515,39.181,0.000
3805.397,31.506,39.532,0.000
3806.274,31.497,40.357,0.000
3807.150,31.487,39.241,0.000
3808.027,31.478,39.137,0.000
3808.904,31.469,38.637,0.000
3809.781,31.460,38.117,0.000
3810.658,31.451,37.551,0.000
3811.536,31.442,36.926,0.000
3812.414,31.433,37.359,0.000
3813.291,31.424,37.201,7.754
3814.170,31.415,36.343,7.854
3815.048,37.388,35.916,7.896
3815.926,36.946,35.430,7.764
3816.805,29.175,34.446,7.722
3817.684,27.361,34.433,7.471
3818.563,25.861,32.763,7.093
3819.443,21.881,32.356,6.690
3820.322,31.100,32.651,6.426
3821.202,26.313,32.785,6.577
3822.082,19.460,32.654,6.905
3822.962,23.615,32.352,6.774
3823.843,27.155,33.241,5.826
3824.723,34.372,34.473,4.390
3825.604,27.541,35.710,3.336
3826.485,39.423,36.616,3.915
3827.366,34.623,36.990,5.330
3828.247,32.361,37.195,6.894
3829.129,33.330,37.073,8.078
3830.011,39.278,37.583,8.846
3830.893,34.210,38.143,9.208
3831.775,27.609,38.686,9.016
3832.657,44.107,39.428,8.354
3833.540,46.219,39.647,7.480
3834.423,38.686,39.224,6.690
3835.306,42.873,38.177,6.508
3836.189,42.222,37.653,6.265
3837.072,41.678,37.439,5.720
3837.956,37.334,36.894,5.340
3838.840,38.748,36.885,5.411
3839.724,39.659,37.034,5.812
3840.608,33.315,36.786,6.114
3841.493,35.618,36.397,6.143
3842.377,40.513,36.185,5.942
3843.262,36.720,35.861,5.751
3844.147,29.064,34.961,5.823
3845.032,39.633,35.594,6.226
3845.918,38.796,35.930,6.712
3846.803,39.552,35.686,6.895
3847.689,38.612,35.077,6.695
3848.575,36.890,34.481,6.323
3849.462,36.827,34.437,6.036
3850.348,30.932,33.623,6.057
3851.235,32.899,33.086,5.948
3852.122,27.938,33.186,5.773
3853.009,31.509,33.122,5.798
3853.896,32.582,32.438,5.797
3854.784,29.363,31.978,5.580
3855.671,29.806,30.197,5.185
3856.559,30.891,29.991,4.757
3857.447,27.343,31.156,4.336
3858.336,24.416,31.982,3.954
3859.224,25.303,31.450,3.784
3860.113,20.047,30.416,3.840
3861.002,22.489,29.975,4.052
3861.891,23.183,30.152,4.419
3862.780,25.336,30.884,4.499
