objid,ra,dec,u,g,r,i,z
1237646585564955060,86.08879547,-0.837536649,24.47582,22.48257,20.36931,19.24307,18.44905
1237646585565086028,86.49230619,-0.927599348,23.94034,21.12035,19.28408,18.2521,17.54229
1237646585565282412,86.82675604,-0.967521748,23.55295,21.50291,19.29906,18.03295,17.11344
1237646585565282416,86.83428408,-0.997370235,23.53047,21.45552,19.08012,17.80779,16.89156
1237646585565413749,87.20694025,-0.967702489,25.52026,22.74767,20.62696,19.34838,18.40423
1237646585565413758,87.21906403,-0.859209021,24.35643,22.03609,20.11522,19.09482,18.36535
1237646586096189731,73.21975245,-0.574328013,20.17459,19.84121,19.66702,19.33035,19.37463
1237646586096189774,73.24811276,-0.43062839,20.6719,20.2396,20.07516,19.9095,19.52333
1237646586100122512,82.28528127,-0.455355053,20.69866,20.32162,20.19213,20.16844,20.08324
1237646586100384379,82.90052564,-0.600705593,21.88691,20.24668,19.38403,18.95104,18.67547
1237646586102219472,87.00869402,-0.531642572,23.0282,21.28886,20.08232,19.44736,19.07837
1237646586102219535,87.04406462,-0.470844958,25.77124,21.98784,20.14832,19.26838,18.67277
1237646586102285121,87.20647354,-0.479943628,24.11649,21.91884,20.65215,20.0103,19.48322
1237646586102415744,87.49329267,-0.435713186,20.68688,19.83254,18.88326,17.62944,17.57252
1237646586102481258,87.60626686,-0.566135888,24.70906,21.80243,20.6632,19.95872,19.4176
1237646586102481919,87.6087075,-0.60819279,22.56518,21.09605,19.99778,19.00233,18.60874
1237646586102546661,87.71406069,-0.484438734,23.23221,21.54919,20.49934,19.87723,19.3907
1237646586632143422,71.23719529,-0.135965026,21.03116,20.49522,20.51939,20.45078,20.49256
1237646586632274442,71.50103216,-0.089129756,20.31765,20.49545,19.8554,19.80854,19.90824
1237646586632339986,71.57526489,-0.00972523,20.85655,20.59525,20.40141,20.45328,20.43386
1237646586632405363,71.7915114,-0.118231616,20.11681,19.97862,19.86728,19.6672,19.78215
1237646586632405603,71.83197838,-0.149860029,21.27197,20.55522,20.38997,20.40077,20.1296
1237646586632470964,71.93381133,-0.056967022,20.34218,19.98753,19.73888,19.48492,19.50559
1237646586632601984,72.20764704,-0.07775292,20.80689,20.20402,20.00351,19.92247,19.57802
1237646586632864080,72.74386193,-0.184064335,21.21881,20.23601,19.81805,19.68367,19.66282
1237646586632929716,72.94803949,-0.159505907,20.5534,20.04108,20.1818,19.94551,19.65826
1237646586633060452,73.25784968,-0.075094118,20.39,19.98854,20.04516,19.7252,19.71261
1237646586633060955,73.28421601,-0.079930568,21.06079,20.21609,19.88604,19.77695,19.74772
1237646586633060958,73.28956307,-0.050056308,21.44361,20.20361,19.83891,19.6737,19.7109
1237646586636796378,81.80877335,-0.100541714,22.34668,20.668,19.9522,19.64548,19.79114
1237646586638566303,85.86387476,-0.037363743,22.4736,21.25632,20.29235,19.83067,19.5067
1237646586638631884,85.9508634,-0.071791326,24.31835,21.58855,20.705,20.25576,19.96108
1237646586638697424,86.077145,-0.156556885,22.33053,20.98754,19.26667,18.48761,17.94985
