Wavelength,Flux,BestFit,SkyFlux
3961.868,10.553,10.361,4.383
3962.780,10.400,10.339,3.587
3963.693,11.525,9.832,3.225
3964.606,10.635,9.096,3.559
3965.519,7.590,8.639,3.892
3966.432,6.545,8.201,3.488
3967.345,9.183,7.958,2.909
3968.259,8.203,7.837,2.779
3969.173,8.230,7.831,3.185
3970.087,10.942,8.249,3.574
3971.001,11.121,8.545,3.329
3971.915,9.486,9.181,2.609
3972.830,9.494,9.826,4.010
3973.745,9.766,10.040,4.824
3974.660,13.450,10.031,5.284
3975.575,10.977,10.546,5.445
3976.491,8.518,10.902,5.490
3977.407,9.720,10.712,5.585
3978.323,10.524,10.495,5.518
3979.239,9.852,10.169,5.414
3980.155,9.716,9.477,5.524
3981.072,10.496,8.781,5.627
3981.988,10.329,8.214,5.355
3982.905,7.241,7.507,5.101
3983.823,6.594,7.276,5.616
3984.740,9.005,7.987,6.401
3985.658,5.680,9.217,6.341
3986.576,9.489,9.997,6.143
3987.494,12.667,11.126,6.004
3988.412,10.953,12.044,6.159
3989.330,12.957,13.145,6.336
3990.249,17.643,13.667,6.266
3991.168,14.338,13.144,5.464
3992.087,11.641,12.856,4.743
3993.006,12.980,12.342,5.297
3993.926,9.871,11.334,6.553
3994.846,9.676,9.770,6.602
3995.766,9.592,8.156,5.750
3996.686,8.952,7.032,4.967
3997.606,9.045,6.423,4.698
3998.527,7.248,6.349,4.937
3999.447,6.361,6.216,5.653
4000.369,11.243,6.588,6.397
4001.290,9.291,7.091,6.539
4002.211,3.853,7.401,6.389
4003.133,10.822,8.256,6.187
4004.055,9.936,8.535,6.016
4004.977,7.792,8.812,6.078
4005.899,7.788,8.928,6.378
4006.822,5.851,8.617,6.742
4007.744,8.170,8.089,6.980
4008.667,11.560,7.882,7.097
4009.590,8.165,7.524,7.241
4010.514,8.840,7.103,7.518
4011.437,4.542,6.805,7.645
4012.361,8.127,6.564,7.697
4013.285,11.652,6.327,7.515
4014.209,8.348,6.404,8.130
4015.134,8.575,7.159,7.809
4016.058,8.376,7.945,7.396
4016.983,6.318,8.598,6.670
4017.908,8.383,9.319,5.975
4018.833,11.067,9.876,6.164
4019.759,7.147,9.621,7.189
4020.685,9.420,9.780,7.951
4021.610,12.246,9.765,7.902
4022.537,7.614,9.210,8.114
4023.463,11.466,8.833,7.961
4024.389,9.111,9.025,7.556
4025.316,7.977,8.904,6.911
4026.243,11.967,9.106,6.379
4027.170,10.829,9.057,6.707
4028.098,6.318,8.946,7.717
4029.025,8.209,9.057,8.118
4029.953,11.505,9.269,7.061
4030.881,10.537,9.169,6.618
4031.809,11.965,9.068,6.708
4032.738,9.086,8.968,6.666
4033.667,8.332,8.700,6.546
4034.596,9.279,8.568,6.383
4035.525,9.697,8.868,6.132
4036.454,11.078,9.255,6.334
4037.383,12.154,9.430,7.090
4038.313,10.419,9.614,7.615
4039.243,7.527,9.860,7.536
4040.173,7.256,10.261,7.427
4041.104,10.944,10.732,7.697
4042.034,10.819,10.910,8.128
4042.965,7.729,11.120,8.959
4043.896,10.243,11.356,9.260
4044.827,10.477,11.689,9.957
4045.759,13.872,11.929,14.733
4046.691,13.331,11.959,21.523
4047.622,9.252,12.149,23.763
4048.555,10.841,12.700,18.999
4049.487,11.470,12.378,12.546
4050.419,13.010,12.054,9.230
4051.352,12.314,11.903,8.478
4052.285,10.574,11.494,7.369
4053.218,12.442,10.997,6.988
4054.152,9.898,10.565,7.420
4055.085,10.814,10.088,7.900
4056.019,9.689,9.818,7.721
4056.953,7.744,9.774,7.055
4057.887,8.766,9.759,6.778
4058.822,9.285,9.589,7.433
4059.757,10.206,9.123,7.997
4060.692,8.281,9.006,7.921
4061.627,8.872,8.659,7.581
4062.562,9.298,8.257,6.977
4063.498,10.714,8.252,7.036
4064.433,8.185,8.179,8.018
4065.369,9.160,7.748,9.094
4066.305,9.169,7.557,9.315
4067.242,8.215,7.777,8.998
4068.178,9.087,8.350,8.885
4069.115,8.237,9.105,8.698
4070.052,10.972,9.759,8.050
4070.990,10.482,10.106,7.902
4071.927,8.663,10.428,7.954
4072.865,12.108,10.869,7.509
4073.803,11.405,11.069,7.169
4074.741,10.126,10.889,7.733
4075.679,9.081,10.904,8.978
4076.618,10.099,10.846,10.018
4077.557,11.566,10.936,10.461
4078.496,11.030,11.181,10.223
4079.435,11.538,11.270,9.206
4080.374,12.656,11.040,8.784
4081.314,10.091,10.777,9.332
4082.254,9.422,10.327,8.558
4083.194,10.988,9.936,7.219
4084.134,11.259,9.422,7.103
4085.075,8.910,9.139,7.481
4086.015,7.211,9.334,7.802
4086.956,7.724,9.326,8.160
4087.898,7.206,8.994,8.245
4088.839,6.242,8.667,7.633
4089.781,10.231,8.528,6.682
4090.722,10.454,8.537,6.681
4091.664,5.399,8.552,7.440
4092.607,8.128,8.425,7.585
4093.549,8.507,7.993,6.445
4094.492,8.463,7.944,5.844
4095.435,8.281,7.678,6.275
4096.378,8.525,7.292,6.594
4097.321,6.704,7.274,6.355
4098.265,4.941,7.310,6.136
4099.208,5.644,6.857,6.487
4100.152,3.622,6.846,6.714
4101.097,8.740,6.706,5.798
4102.041,7.036,6.291,5.109
4102.986,5.929,5.951,5.221
4103.931,6.174,5.785,5.115
4104.876,9.434,5.935,4.799
4105.821,7.762,5.803,4.963
4106.766,6.808,5.891,5.672
4107.712,7.564,6.024,6.500
4108.658,5.964,5.908,6.908
4109.604,5.824,6.174,6.832
4110.551,8.918,6.676,6.661
4111.497,8.664,7.085,6.388
4112.444,7.310,7.650,5.971
4113.391,7.557,8.324,5.757
4114.338,6.557,8.846,5.943
4115.286,9.290,9.193,7.014
4116.233,7.911,9.387,7.159
4117.181,6.397,9.595,6.554
4118.130,8.726,9.935,6.093
4119.078,10.142,10.062,5.792
4120.026,8.464,9.828,5.446
4120.975,8.954,9.796,5.429
4121.924,11.919,9.697,5.966
4122.873,9.029,9.652,6.424
4123.823,9.761,9.914,7.044
4124.772,9.941,9.992,7.420
4125.722,9.451,9.611,7.487
4126.672,8.380,9.572,7.237
4127.623,9.503,9.417,6.852
4128.573,11.069,9.123,6.828
4129.524,9.074,9.013,7.204
4130.475,6.495,8.981,7.420
4131.426,7.752,8.797,6.943
4132.378,9.228,8.746,6.549
4133.329,8.526,9.280,6.585
4134.281,6.798,9.628,7.006
4135.233,9.529,9.993,7.592
4136.185,11.130,10.302,7.770
4137.138,12.506,10.428,7.810
4138.091,10.982,10.702,7.947
4139.044,9.333,10.549,7.881
4139.997,10.909,10.466,7.694
4140.950,13.916,10.490,7.932
4141.904,15.668,10.306,7.333
4142.858,10.573,9.883,6.124
4143.812,9.892,9.719,5.299
4144.766,9.378,9.519,5.606
4145.720,12.682,9.171,6.134
