Wavelength,Flux,BestFit,SkyFlux
3800.144,1.262,2.643,0.000
3801.019,1.262,2.633,0.000
3801.894,1.262,2.701,0.000
3802.769,1.262,2.662,0.000
3803.645,1.262,2.573,0.000
3804.521,1.262,2.669,0.000
3805.397,1.262,2.635,0.000
3806.274,1.262,2.720,0.000
3807.150,1.262,2.730,0.000
3808.027,1.262,2.685,0.000
3808.904,1.262,2.670,0.000
3809.781,1.262,2.654,0.000
3810.658,1.262,2.555,9.759
3811.536,1.262,2.545,9.303
3812.414,1.647,2.586,9.506
3813.291,0.426,2.669,9.552
3814.170,0.777,2.729,9.510
3815.048,1.615,2.693,9.356
3815.926,0.773,2.705,9.059
3816.805,1.424,2.710,8.670
3817.684,2.424,2.762,8.283
3818.563,-1.420,2.777,7.906
3819.443,-0.641,2.731,7.339
3820.322,3.441,2.712,6.957
3821.202,3.027,2.719,6.622
3822.082,4.565,2.826,6.214
3822.962,5.845,2.812,5.773
3823.843,3.244,2.774,5.426
3824.723,2.461,2.786,5.258
3825.604,5.152,2.765,5.233
3826.485,-0.361,2.766,5.295
3827.366,4.764,2.742,6.156
3828.247,2.059,2.719,8.269
3829.129,0.861,2.729,11.488
3830.011,0.534,2.739,13.481
3830.893,2.787,2.702,13.672
3831.775,4.927,2.699,13.271
3832.657,1.523,2.695,12.956
3833.540,-1.515,2.699,12.109
3834.423,5.788,2.768,10.464
3835.306,6.257,2.833,9.536
3836.189,1.769,2.759,9.637
3837.072,2.135,2.684,9.605
3837.956,1.326,2.737,8.845
3838.840,1.988,2.791,7.996
3839.724,3.364,2.810,7.470
3840.608,2.136,2.778,7.591
3841.493,1.055,2.708,8.170
3842.377,3.215,2.782,8.301
3843.262,3.943,2.750,7.401
3844.147,3.633,2.826,6.781
3845.032,4.391,2.911,7.717
3845.918,4.996,2.902,8.808
3846.803,4.400,2.876,8.579
3847.689,3.097,2.843,7.420
3848.575,2.764,2.851,6.487
3849.462,2.798,2.855,6.456
3850.348,2.608,2.877,6.971
3851.235,4.134,2.904,7.374
3852.122,3.748,2.879,6.964
3853.009,0.971,2.884,5.923
3853.896,6.428,2.927,5.261
3854.784,4.027,2.914,5.388
3855.671,3.129,2.904,5.820
3856.559,5.491,2.918,5.800
3857.447,6.090,2.891,5.187
3858.336,4.439,2.858,4.378
3859.224,2.811,2.882,3.949
3860.113,1.701,2.955,4.042
3861.002,3.083,2.938,4.558
3861.891,8.570,2.843,5.234
3862.780,4.615,2.843,5.575
3863.670,5.291,2.920,5.384
3864.560,4.629,2.913,4.875
3865.449,3.622,2.930,4.571
3866.340,1.568,2.997,4.836
3867.230,0.057,3.049,5.317
3868.121,5.868,3.039,5.596
3869.011,3.712,3.041,5.386
3869.902,-0.185,3.057,4.688
3870.793,2.329,3.108,3.820
3871.685,1.387,3.107,3.157
3872.576,4.513,3.063,3.131
3873.468,4.393,3.076,3.903
3874.360,3.489,3.076,5.011
3875.252,4.077,3.141,5.668
3876.145,2.812,3.158,5.534
3877.037,4.015,3.160,4.930
3877.930,4.288,3.149,4.244
3878.823,1.540,3.076,4.213
3879.717,0.682,3.076,4.377
3880.610,1.362,3.151,4.279
3881.504,2.577,3.127,3.844
3882.398,3.585,3.137,3.466
3883.292,3.343,3.226,3.442
3884.186,2.563,3.241,3.773
3885.080,1.798,3.229,4.151
3885.975,0.282,3.165,4.286
3886.870,4.067,3.157,4.167
3887.765,6.487,3.159,3.813
3888.660,4.926,3.162,3.488
3889.556,4.001,3.249,3.552
3890.451,1.213,3.358,4.021
3891.347,0.663,3.358,4.537
3892.243,3.533,3.364,4.586
3893.140,5.141,3.401,4.061
3894.036,3.450,3.427,3.620
3894.933,2.681,3.409,3.965
3895.830,3.466,3.383,4.660
3896.727,2.829,3.462,5.177
3897.625,6.599,3.462,5.377
3898.522,5.286,3.416,5.526
3899.420,1.795,3.409,5.664
3900.318,3.058,3.417,5.696
3901.216,4.522,3.398,5.387
3902.114,4.234,3.438,4.896
3903.013,6.204,3.417,4.991
3903.912,3.718,3.362,6.174
3904.811,2.118,3.332,7.809
3905.710,2.408,3.345,9.200
3906.609,6.655,3.459,9.698
3907.509,3.151,3.503,9.963
3908.409,4.334,3.504,10.429
3909.309,5.694,3.533,10.673
3910.209,3.121,3.550,10.231
3911.110,2.752,3.469,9.767
3912.010,2.532,3.428,10.123
3912.911,0.495,3.526,10.157
3913.812,2.850,3.481,9.388
3914.714,3.258,3.446,8.601
3915.615,5.664,3.491,8.134
3916.517,3.461,3.438,7.720
3917.419,1.504,3.428,7.312
3918.321,2.616,3.453,7.048
3919.223,3.169,3.413,6.758
3920.126,2.693,3.426,6.196
3921.029,5.860,3.457,5.452
3921.931,7.387,3.347,4.840
3922.835,4.817,3.351,5.129
3923.738,2.871,3.315,5.697
3924.642,-0.406,3.340,5.986
3925.545,2.412,3.347,5.734
3926.449,2.497,3.304,5.125
3927.354,1.596,3.295,4.533
3928.258,3.855,3.250,4.233
3929.163,5.196,3.150,4.124
3930.067,3.488,3.109,4.136
3930.972,0.788,3.060,4.301
3931.878,1.347,3.040,4.407
3932.783,3.475,3.152,4.342
3933.689,3.969,3.103,4.152
3934.595,3.207,3.147,3.914
3935.501,2.850,3.132,3.832
3936.407,3.386,2.996,3.915
3937.314,5.126,2.923,4.147
3938.220,5.640,3.062,4.704
