Wavelength,Flux,BestFit,SkyFlux
3566.153,-1.311,0.183,0.000
3566.974,-1.311,0.220,0.000
3567.796,-1.311,0.256,0.000
3568.617,-1.311,0.270,0.000
3569.439,-1.310,0.291,0.000
3570.261,-1.310,0.292,0.000
3571.083,-1.310,0.261,0.000
3571.906,-1.310,0.243,0.000
3572.728,-1.310,0.223,0.000
3573.551,-1.309,0.212,0.000
3574.374,-1.309,0.216,0.000
3575.197,-1.309,0.229,0.000
3576.021,-1.309,0.234,0.000
3576.844,-1.309,0.214,0.000
3577.668,-1.308,0.189,0.000
3578.492,-1.308,0.163,0.000
3579.316,-1.308,0.153,0.000
3580.140,-1.308,0.173,0.000
3580.964,-1.308,0.209,0.000
3581.789,-1.307,0.231,0.000
3582.614,-1.307,0.270,0.000
3583.439,-1.307,0.274,0.000
3584.264,-1.307,0.272,0.000
3585.089,-1.307,0.248,0.000
3585.915,-1.306,0.204,0.000
3586.741,-1.306,0.190,0.000
3587.567,-1.306,0.158,0.000
3588.393,-1.306,0.162,0.000
3589.219,-1.306,0.181,0.000
3590.046,-1.305,0.194,0.000
3590.873,-1.305,0.210,0.000
3591.700,-1.305,0.252,0.000
3592.527,-1.305,0.264,0.000
3593.354,-1.305,0.266,0.000
3594.181,-1.304,0.261,0.000
3595.009,-1.304,0.278,0.000
3595.837,-1.304,0.309,0.000
3596.665,-1.304,0.304,0.000
3597.493,-1.304,0.311,0.000
3598.322,-1.303,0.319,0.000
3599.150,-1.303,0.327,0.000
3599.979,-1.303,0.323,0.000
3600.808,-1.303,0.307,0.000
3601.638,-1.303,0.299,0.000
3602.467,-1.302,0.278,0.000
3603.297,-1.302,0.295,0.000
3604.126,-1.302,0.316,0.000
3604.956,-1.302,0.309,0.000
3605.786,-1.302,0.289,0.000
3606.617,-1.301,0.301,0.000
3607.447,-1.301,0.314,1.753
3608.278,-1.301,0.318,1.634
3609.109,-5.096,0.296,1.586
3609.940,-1.467,0.280,1.551
3610.771,0.333,0.284,1.562
3611.603,-1.650,0.274,1.656
3612.435,-3.843,0.281,1.763
3613.267,0.853,0.278,1.834
3614.099,-2.399,0.276,1.819
3614.931,-5.390,0.294,1.922
3615.763,3.153,0.323,2.094
3616.596,0.085,0.334,2.176
3617.429,0.921,0.330,2.215
3618.262,0.742,0.330,2.300
3619.095,-6.006,0.320,2.341
3619.929,-7.298,0.300,2.410
3620.762,1.572,0.291,2.455
3621.596,-3.816,0.307,2.347
3622.430,5.559,0.299,2.230
3623.264,-1.020,0.295,2.215
3624.099,-3.944,0.308,1.962
3624.933,1.450,0.312,2.185
3625.768,0.962,0.304,2.558
3626.603,0.221,0.316,2.859
3627.438,2.539,0.285,2.924
3628.273,-1.423,0.275,2.801
3629.109,0.971,0.283,2.668
3629.945,1.634,0.296,2.929
3630.781,-7.262,0.307,3.192
3631.617,2.477,0.302,3.235
3632.453,3.011,0.272,3.082
3633.289,7.206,0.239,2.795
3634.126,1.899,0.221,3.102
3634.963,-2.958,0.210,3.383
3635.800,7.032,0.209,3.208
3636.637,5.534,0.247,2.828
3637.475,4.323,0.273,2.615
3638.313,-0.740,0.254,2.877
3639.150,-0.493,0.254,2.791
3639.988,2.874,0.269,2.804
3640.827,1.095,0.286,2.769
3641.665,0.772,0.331,2.849
3642.504,1.274,0.319,3.082
3643.343,-2.329,0.295,3.177
3644.182,-2.782,0.303,3.138
3645.021,-1.067,0.326,2.762
3645.860,-0.719,0.344,2.404
3646.700,6.060,0.362,2.306
3647.539,5.041,0.332,2.511
3648.379,0.178,0.374,2.897
3649.220,0.670,0.384,3.689
3650.060,2.004,0.361,4.875
3650.901,-0.892,0.342,5.469
3651.741,4.072,0.315,5.874
3652.582,-0.977,0.333,4.975
3653.423,-2.817,0.330,3.856
3654.265,1.713,0.326,3.765
3655.106,2.365,0.315,4.221
3655.948,-3.190,0.290,3.996
3656.790,4.066,0.280,3.538
3657.632,0.513,0.264,3.284
3658.474,1.643,0.274,3.446
3659.317,1.304,0.283,3.954
3660.159,-1.064,0.301,3.821
3661.002,0.851,0.338,3.413
3661.845,1.887,0.354,3.295
3662.689,4.529,0.340,3.540
3663.532,-0.574,0.306,3.687
3664.376,-1.588,0.302,3.662
3665.220,2.036,0.307,3.317
3666.064,0.828,0.294,2.843
3666.908,-0.885,0.289,2.616
3667.752,0.382,0.286,2.479
3668.597,-0.927,0.283,2.347
3669.442,-0.434,0.278,2.240
3670.287,1.489,0.271,1.999
3671.132,0.586,0.256,1.928
3671.977,0.161,0.237,2.057
3672.823,1.543,0.236,2.176
3673.669,0.348,0.210,2.329
3674.515,0.159,0.204,2.312
3675.361,0.006,0.224,2.016
3676.207,-1.365,0.236,1.849
3677.054,3.387,0.224,2.019
3677.901,-0.323,0.211,2.052
3678.748,-0.799,0.222,2.094
3679.595,-2.360,0.245,1.986
3680.442,-3.104,0.260,1.891
3681.290,1.167,0.267,1.624
3682.137,-0.906,0.286,1.320
3682.985,1.602,0.289,1.281
3683.834,1.430,0.303,1.367
3684.682,0.757,0.312,1.495
3685.530,1.761,0.288,1.541
3686.379,2.676,0.255,1.397
3687.228,2.435,0.273,1.159
3688.077,2.819,0.260,1.075
3688.926,2.174,0.242,1.233
3689.776,1.481,0.267,1.585
3690.626,0.625,0.267,1.926
3691.476,-0.953,0.219,2.060
3692.326,-0.412,0.236,2.035
3693.176,3.908,0.253,2.124
3694.026,-0.511,0.258,1.967
3694.877,-2.366,0.254,1.996
3695.728,0.502,0.238,2.001
3696.579,0.026,0.221,1.946
3697.430,0.433,0.225,1.969
3698.282,-0.442,0.242,2.461
3699.133,0.463,0.256,2.981
3699.985,-0.922,0.251,3.066
3700.837,-1.087,0.257,3.018
3701.690,3.746,0.287,3.160
3702.542,1.162,0.305,3.091
3703.395,-1.990,0.293,2.899
3704.248,-0.304,0.272,2.537
3705.101,0.371,0.246,2.604
3705.954,-1.378,0.227,2.773
3706.807,-1.297,0.230,2.608
3707.661,0.256,0.249,2.392
3708.515,0.200,0.272,2.428
3709.369,-0.138,0.279,2.287
3710.223,1.201,0.274,2.062
3711.077,1.027,0.278,2.026
3711.932,-2.140,0.278,2.165
3712.787,0.624,0.250,2.403
3713.642,1.072,0.275,2.535
3714.497,1.323,0.261,2.588
3715.352,1.157,0.259,2.638
3716.208,-0.429,0.246,2.277
3717.064,-1.676,0.225,2.054
3717.920,1.027,0.272,1.912
3718.776,-0.716,0.273,1.911
3719.632,-0.334,0.253,1.946
3720.489,-0.478,0.243,1.568
3721.346,-0.363,0.236,1.192
3722.203,2.062,0.226,1.375
3723.060,-0.803,0.227,1.503
3723.917,0.672,0.216,1.699
3724.775,2.076,0.203,1.855
3725.632,1.352,0.214,1.933
3726.490,0.581,0.244,1.891
3727.348,1.568,0.272,1.696
3728.207,1.687,0.281,1.994
3729.065,2.714,0.283,2.483
3729.924,0.028,0.254,2.587
3730.783,-0.632,0.227,2.217
3731.642,0.598,0.208,2.116
3732.502,-0.591,0.202,2.725
3733.361,1.033,0.222,2.810
3734.221,-0.080,0.217,2.616
3735.081,-0.427,0.223,2.614
3735.941,-0.902,0.252,2.584
3736.801,-0.309,0.263,2.481
3737.662,2.086,0.248,2.640
3738.523,-0.508,0.261,2.767
3739.383,-0.688,0.275,3.266
3740.245,0.848,0.310,3.662
3741.106,0.566,0.347,3.707
3741.967,-0.478,0.352,3.513
3742.829,0.410,0.330,3.224
3743.691,0.309,0.327,3.003
3744.553,3.035,0.318,2.720
3745.415,0.933,0.303,2.216
3746.278,-1.951,0.307,2.083
3747.141,-1.229,0.325,2.353
3748.004,0.625,0.326,2.549
3748.867,-1.338,0.295,2.197
3749.730,1.543,0.295,1.841
3750.594,0.262,0.301,2.106
3751.457,-0.675,0.283,2.130
3752.321,0.510,0.286,2.101
3753.185,0.154,0.328,2.200
3754.050,0.972,0.342,2.466
3754.914,0.932,0.327,2.844
3755.779,0.514,0.327,3.056
3756.644,0.037,0.348,2.808
3757.509,0.030,0.388,2.317
3758.374,0.748,0.407,1.910
3759.240,0.683,0.356,1.902
3760.105,-1.583,0.350,2.173
3760.971,-2.022,0.392,2.295
3761.837,-1.153,0.423,2.035
3762.704,0.523,0.428,1.743
3763.570,2.309,0.426,1.758
3764.437,0.394,0.432,1.970
3765.304,1.252,0.433,2.161
3766.171,-0.001,0.423,2.097
3767.038,-0.252,0.417,1.785
3767.905,0.585,0.417,1.715
3768.773,-0.580,0.424,1.597
3769.641,0.046,0.444,1.553
3770.509,-0.751,0.452,1.688
3771.377,0.325,0.468,1.832
3772.246,0.656,0.459,2.116
3773.115,-0.221,0.444,2.446
3773.984,0.719,0.451,2.228
3774.853,2.539,0.463,2.357
3775.722,0.789,0.438,2.491
3776.591,1.721,0.414,2.444
3777.461,1.531,0.429,2.299
3778.331,0.159,0.432,2.447
3779.201,1.519,0.419,2.607
3780.071,0.774,0.462,2.463
3780.942,1.049,0.468,2.321
3781.813,0.522,0.499,2.214
3782.683,0.129,0.508,2.125
3783.555,0.906,0.501,2.076
