Wavelength,Flux,BestFit,SkyFlux
3548.951,-5.122,0.240,0.000
3549.768,-5.121,0.238,0.000
3550.586,-5.119,0.238,0.000
3551.403,-5.118,0.238,0.000
3552.221,-5.116,0.239,0.000
3553.039,-5.115,0.240,0.000
3553.857,-5.113,0.243,0.000
3554.676,-5.112,0.245,0.000
3555.494,-5.110,0.246,0.000
3556.313,-5.109,0.247,0.000
3557.132,-5.107,0.247,0.000
3557.951,-5.106,0.246,0.000
3558.771,-5.105,0.246,0.000
3559.590,-5.103,0.245,0.000
3560.410,-5.102,0.245,0.000
3561.230,-5.100,0.245,0.000
3562.050,-5.099,0.245,0.000
3562.870,-5.097,0.244,0.000
3563.691,-5.096,0.242,0.000
3564.511,-5.094,0.238,0.000
3565.332,-5.093,0.235,0.000
3566.153,-5.091,0.231,0.000
3566.974,-5.090,0.227,0.000
3567.796,-5.089,0.225,0.000
3568.617,-5.087,0.224,0.000
3569.439,-5.086,0.224,0.000
3570.261,-5.084,0.225,0.000
3571.083,-5.083,0.227,0.000
3571.906,-5.081,0.229,0.000
3572.728,-5.080,0.230,0.000
3573.551,-5.079,0.230,0.000
3574.374,-5.077,0.230,0.000
3575.197,-5.076,0.228,0.000
3576.021,-5.074,0.225,0.000
3576.844,-5.073,0.222,0.000
3577.668,-5.071,0.219,0.000
3578.492,-5.070,0.216,0.000
3579.316,-5.069,0.214,0.000
3580.140,-5.067,0.212,0.000
3580.964,-5.066,0.211,0.000
3581.789,-5.064,0.210,0.000
3582.614,-5.063,0.210,0.000
3583.439,-5.062,0.210,0.000
3584.264,-5.060,0.210,0.000
3585.089,-5.059,0.209,0.000
3585.915,-5.057,0.209,0.000
3586.741,-5.056,0.209,0.000
3587.567,-5.055,0.208,0.000
3588.393,-5.053,0.208,5.167
3589.219,-5.052,0.209,4.860
3590.046,-1.165,0.209,4.810
3590.873,-0.986,0.211,4.755
3591.700,2.235,0.212,4.812
3592.527,8.974,0.214,4.806
3593.354,-0.144,0.215,4.757
3594.181,7.315,0.217,4.645
3595.009,2.144,0.218,4.594
3595.837,-0.337,0.220,4.546
3596.665,-0.334,0.222,4.518
3597.493,-1.317,0.224,4.557
3598.322,5.947,0.225,4.488
3599.150,-1.532,0.226,4.390
3599.979,5.992,0.226,4.432
3600.808,3.224,0.225,4.258
3601.638,1.818,0.224,4.164
3602.467,9.011,0.223,4.072
3603.297,-4.419,0.222,4.027
3604.126,5.018,0.221,3.856
3604.956,2.874,0.221,3.632
3605.786,1.413,0.222,3.261
3606.617,1.675,0.223,2.767
3607.447,-1.942,0.225,2.380
3608.278,-2.561,0.228,2.406
3609.109,-3.708,0.231,2.833
3609.940,-4.456,0.234,3.279
3610.771,-4.641,0.238,3.509
3611.603,0.481,0.241,3.447
3612.435,5.231,0.243,3.201
3613.267,-3.716,0.244,3.070
3614.099,3.171,0.244,3.429
3614.931,-0.548,0.243,4.230
3615.763,3.717,0.241,5.095
3616.596,6.496,0.237,5.399
3617.429,-1.854,0.233,5.480
3618.262,1.126,0.229,5.847
3619.095,3.374,0.224,5.771
3619.929,-1.804,0.220,5.099
3620.762,0.453,0.217,4.964
3621.596,3.728,0.216,5.272
3622.430,-0.238,0.216,5.948
3623.264,-0.564,0.218,6.183
3624.099,-2.325,0.221,5.583
3624.933,2.137,0.225,4.512
3625.768,4.679,0.229,4.206
3626.603,-0.688,0.232,4.808
3627.438,-5.909,0.235,5.432
3628.273,2.178,0.238,5.031
3629.109,1.804,0.239,4.700
3629.945,-2.389,0.238,5.037
3630.781,-1.908,0.238,5.633
3631.617,-0.871,0.237,5.830
3632.453,-1.089,0.236,6.072
3633.289,4.136,0.236,6.345
3634.126,-2.423,0.236,6.672
3634.963,3.964,0.236,6.317
3635.800,5.451,0.236,5.887
3636.637,0.088,0.236,6.471
3637.475,-2.193,0.237,7.063
3638.313,-0.433,0.238,5.826
3639.150,8.023,0.239,4.675
3639.988,3.190,0.241,4.253
3640.827,-0.425,0.242,4.683
3641.665,1.324,0.243,5.889
3642.504,2.422,0.243,5.812
3643.343,2.143,0.243,5.890
3644.182,1.560,0.241,6.163
3645.021,-1.981,0.239,6.020
3645.860,-2.202,0.236,5.581
3646.700,-0.886,0.233,5.539
3647.539,-0.421,0.229,5.670
3648.379,2.288,0.225,5.139
3649.220,-3.106,0.220,7.514
3650.060,-4.454,0.214,9.327
3650.901,1.212,0.206,9.626
3651.741,3.888,0.199,8.329
3652.582,0.752,0.192,6.663
3653.423,3.417,0.188,6.188
3654.265,-0.509,0.186,7.086
3655.106,-5.405,0.188,7.948
3655.948,-1.908,0.192,6.963
3656.790,2.586,0.197,5.191
3657.632,0.864,0.203,4.356
3658.474,0.793,0.208,4.795
3659.317,-0.032,0.212,5.473
3660.159,2.103,0.214,6.151
3661.002,0.857,0.216,6.242
3661.845,0.059,0.217,6.294
3662.689,2.060,0.217,6.589
3663.532,-1.783,0.217,7.130
3664.376,-1.617,0.219,7.254
3665.220,4.997,0.220,7.272
3666.064,2.886,0.222,6.493
3666.908,-0.308,0.223,5.462
3667.752,2.579,0.223,4.526
3668.597,-1.743,0.224,3.830
3669.442,2.858,0.223,3.471
3670.287,2.602,0.223,3.374
3671.132,0.344,0.223,4.233
3671.977,-0.956,0.223,4.788
3672.823,-1.040,0.222,4.750
3673.669,0.265,0.221,4.339
3674.515,-1.470,0.217,3.961
3675.361,1.433,0.213,3.753
3676.207,0.260,0.208,3.891
3677.054,-1.938,0.203,3.848
3677.901,-0.292,0.198,3.684
3678.748,-1.099,0.196,3.390
3679.595,1.128,0.195,2.999
3680.442,-1.802,0.195,2.782
3681.290,-1.894,0.196,2.596
3682.137,0.419,0.198,2.966
3682.985,1.470,0.200,3.237
3683.834,3.583,0.201,3.066
3684.682,-0.233,0.201,2.762
3685.530,0.728,0.201,2.735
3686.379,1.442,0.201,3.023
3687.228,0.786,0.200,3.231
3688.077,1.048,0.200,3.098
3688.926,0.414,0.200,3.035
3689.776,-2.310,0.201,3.007
3690.626,0.573,0.202,3.055
3691.476,0.364,0.203,3.026
3692.326,-0.068,0.205,3.271
3693.176,2.278,0.206,3.998
3694.026,-1.311,0.206,3.988
3694.877,0.783,0.205,3.395
3695.728,4.294,0.203,2.876
3696.579,1.915,0.199,2.800
3697.430,-2.461,0.194,3.350
3698.282,-2.376,0.189,4.494
3699.133,-0.324,0.184,5.115
3699.985,-1.083,0.182,5.360
3700.837,-0.589,0.180,5.233
3701.690,-1.174,0.181,4.990
3702.542,-1.611,0.182,5.080
3703.395,-0.362,0.183,5.318
3704.248,0.513,0.184,5.149
3705.101,4.921,0.182,4.997
3705.954,1.002,0.179,4.579
3706.807,0.886,0.176,4.308
3707.661,2.138,0.172,4.758
3708.515,-0.872,0.169,4.803
3709.369,0.802,0.168,4.357
3710.223,1.293,0.169,4.091
3711.077,1.067,0.171,4.154
3711.932,2.127,0.174,4.510
3712.787,1.835,0.178,4.856
3713.642,0.225,0.182,5.437
3714.497,2.722,0.185,5.525
3715.352,0.278,0.186,4.963
3716.208,2.132,0.186,4.044
3717.064,1.724,0.185,3.727
3717.920,0.056,0.184,4.085
3718.776,1.257,0.183,4.074
3719.632,1.467,0.182,3.483
3720.489,0.403,0.182,2.758
3721.346,-1.514,0.182,2.901
3722.203,-1.197,0.181,2.937
3723.060,1.117,0.180,2.791
3723.917,2.179,0.177,2.524
3724.775,-0.322,0.174,3.094
3725.632,-2.979,0.170,5.037
3726.490,-1.915,0.165,6.393
3727.348,-0.039,0.162,5.734
3728.207,1.007,0.159,5.470
3729.065,0.767,0.158,6.162
3729.924,-1.643,0.159,6.593
3730.783,-2.522,0.162,5.792
3731.642,3.383,0.165,4.248
3732.502,3.667,0.168,4.333
3733.361,-0.919,0.173,5.354
3734.221,-1.771,0.177,5.934
3735.081,0.844,0.182,5.141
3735.941,0.929,0.186,4.811
3736.801,-2.190,0.191,5.274
3737.662,-0.396,0.194,4.385
3738.523,2.872,0.196,4.858
3739.383,0.642,0.197,5.242
3740.245,-2.740,0.197,5.871
3741.106,0.954,0.195,6.043
3741.967,1.287,0.192,6.331
3742.829,0.021,0.189,6.468
3743.691,-0.371,0.185,6.462
3744.553,0.359,0.183,5.403
3745.415,1.601,0.181,4.875
3746.278,-0.463,0.181,4.948
3747.141,-0.807,0.182,5.041
3748.004,0.131,0.183,4.828
3748.867,0.457,0.183,4.401
3749.730,0.548,0.181,3.992
3750.594,1.896,0.178,3.726
3751.457,-1.152,0.175,3.864
3752.321,-2.086,0.171,4.212
3753.185,-0.247,0.168,4.502
3754.050,1.285,0.167,4.575
3754.914,0.525,0.168,4.840
3755.779,0.049,0.171,5.817
3756.644,3.871,0.173,4.945
3757.509,1.043,0.175,4.040
3758.374,-0.600,0.175,3.559
3759.240,-0.519,0.175,3.669
3760.105,-2.112,0.173,4.107
3760.971,-1.521,0.172,4.315
3761.837,-0.151,0.171,3.870
3762.704,0.806,0.172,3.373
3763.570,0.109,0.173,3.434
3764.437,-1.308,0.175,3.768
3765.304,-1.527,0.177,3.575
3766.171,-0.278,0.178,3.437
3767.038,0.104,0.179,3.413
3767.905,0.701,0.179,3.233
3768.773,-0.047,0.179,2.923
3769.641,-0.360,0.179,2.828
3770.509,-0.012,0.180,3.161
3771.377,-2.924,0.180,3.693
3772.246,-1.054,0.180,4.245
3773.115,0.404,0.179,4.322
3773.984,0.828,0.177,4.102
3774.853,-0.322,0.175,3.934
3775.722,-1.878,0.172,3.941
3776.591,-0.104,0.171,4.173
3777.461,-0.083,0.171,4.350
3778.331,0.442,0.173,4.253
3779.201,0.119,0.175,4.377
3780.071,-0.694,0.177,4.505
3780.942,-0.635,0.177,4.429
3781.813,-0.350,0.176,4.237
3782.683,-0.777,0.172,4.245
3783.555,-1.564,0.168,4.149
3784.426,-0.347,0.162,4.013
3785.297,0.988,0.157,4.102
3786.169,0.014,0.152,4.275
