Wavelength,Flux,BestFit,SkyFlux
3568.617,5.106,6.152,0.000
3569.439,5.105,6.216,0.000
3570.261,5.104,6.133,0.000
3571.083,5.103,6.196,0.000
3571.906,5.101,6.185,0.000
3572.728,5.100,6.115,0.000
3573.551,5.099,6.285,0.000
3574.374,5.098,6.576,0.000
3575.197,5.096,6.416,0.000
3576.021,5.095,6.623,0.000
3576.844,5.094,6.645,0.000
3577.668,5.093,6.392,0.000
3578.492,5.091,6.404,0.000
3579.316,5.090,6.458,0.000
3580.140,5.089,6.320,0.000
3580.964,5.088,6.286,0.000
3581.789,5.087,6.273,0.000
3582.614,5.085,6.351,0.000
3583.439,5.084,6.614,0.000
3584.264,5.083,6.623,0.000
3585.089,5.082,6.557,0.000
3585.915,5.081,6.669,0.000
3586.741,5.079,6.750,0.000
3587.567,5.078,6.782,0.000
3588.393,5.077,6.897,0.000
3589.219,5.076,6.870,0.000
3590.046,5.075,6.765,0.000
3590.873,5.073,6.810,0.000
3591.700,5.072,7.034,0.000
3592.527,5.071,7.130,0.000
3593.354,5.070,6.989,0.000
3594.181,5.069,7.236,0.000
3595.009,5.067,7.356,0.000
3595.837,5.066,7.301,0.000
3596.665,5.065,7.425,0.000
3597.493,5.064,7.605,0.000
3598.322,5.063,7.568,0.000
3599.150,5.061,7.771,0.000
3599.979,5.060,7.888,0.000
3600.808,5.059,7.909,0.000
3601.638,5.058,8.070,0.000
3602.467,5.057,8.297,0.000
3603.297,5.056,8.357,0.000
3604.126,5.054,8.425,0.000
3604.956,5.053,8.528,0.000
3605.786,5.052,8.563,0.000
3606.617,5.051,8.523,0.000
3607.447,5.050,8.680,0.000
3608.278,5.049,8.976,0.000
3609.109,5.047,8.558,2.883
3609.940,5.046,8.686,2.624
3610.771,13.562,8.741,3.522
3611.603,10.639,8.751,3.802
3612.435,9.952,8.857,4.214
3613.267,20.928,8.904,4.594
3614.099,-1.337,8.721,4.978
3614.931,-1.929,8.742,5.391
3615.763,5.614,8.814,5.770
3616.596,6.751,8.650,6.020
3617.429,5.261,8.384,6.318
3618.262,8.166,8.350,6.620
3619.095,2.427,8.447,6.977
3619.929,7.994,8.621,7.232
3620.762,5.400,8.645,7.077
3621.596,2.054,8.541,7.340
3622.430,7.709,8.427,7.082
3623.264,8.475,8.373,6.632
3624.099,4.330,8.342,6.246
3624.933,2.262,8.274,6.032
3625.768,2.350,8.022,5.816
3626.603,0.013,7.907,5.964
3627.438,0.402,7.953,5.796
3628.273,12.813,7.811,5.940
3629.109,11.244,7.428,6.481
3629.945,8.758,7.383,7.431
3630.781,5.250,7.459,8.470
3631.617,3.051,7.347,8.902
3632.453,2.822,7.161,8.905
3633.289,2.455,7.132,8.646
3634.126,13.180,6.997,8.664
3634.963,14.652,6.948,8.873
3635.800,3.887,7.039,9.139
3636.637,0.519,6.929,9.144
3637.475,7.175,6.700,8.074
