Wavelength,Flux,BestFit,SkyFlux
3790.531,23.038,22.943,0.000
3791.403,23.033,22.648,0.000
3792.277,23.027,22.440,0.000
3793.150,23.022,22.504,0.000
3794.023,23.017,22.398,0.000
3794.897,23.012,21.980,0.000
3795.771,23.007,21.724,0.000
3796.645,23.001,21.785,0.000
3797.519,22.996,22.074,0.000
3798.394,22.991,22.357,0.000
3799.269,22.986,22.713,0.000
3800.144,22.981,22.891,0.000
3801.019,22.975,22.471,0.000
3801.894,22.970,22.488,0.000
3802.769,22.965,22.544,0.000
3803.645,22.960,22.551,0.000
3804.521,22.955,22.556,0.000
3805.397,22.950,22.569,0.000
3806.274,22.944,22.526,5.449
3807.150,22.939,22.397,5.757
3808.027,20.273,22.504,5.818
3808.904,20.380,22.546,6.049
3809.781,19.944,22.600,6.365
3810.658,20.958,22.713,6.530
3811.536,23.788,22.617,6.771
3812.414,18.344,22.456,6.902
3813.291,19.316,22.606,6.656
3814.170,22.506,22.852,6.102
3815.048,26.818,22.937,5.843
3815.926,19.511,22.858,6.160
3816.805,18.168,22.790,6.961
3817.684,16.460,22.690,7.474
3818.563,14.094,22.759,6.876
3819.443,20.669,22.950,5.565
3820.322,25.392,22.980,4.449
3821.202,19.150,22.827,4.040
3822.082,26.681,22.815,4.197
3822.962,24.962,22.848,4.469
3823.843,23.714,22.844,4.436
3824.723,22.727,22.775,4.043
3825.604,24.096,22.717,3.487
3826.485,23.615,22.720,3.456
3827.366,22.987,22.743,4.528
3828.247,21.244,22.777,6.645
3829.129,16.194,22.854,8.786
3830.011,23.021,22.730,9.642
3830.893,19.046,22.569,8.762
3831.775,26.775,22.607,7.933
3832.657,25.096,22.729,7.841
3833.540,20.682,22.556,7.960
3834.423,17.719,22.526,7.633
3835.306,24.266,22.419,6.786
3836.189,24.867,22.282,6.056
3837.072,16.065,22.298,5.948
3837.956,23.457,22.440,6.097
3838.840,21.391,22.496,6.110
3839.724,21.906,22.559,6.189
3840.608,18.535,22.483,6.382
3841.493,21.632,22.454,6.551
3842.377,22.132,22.424,6.535
