Wavelength,Flux,BestFit,SkyFlux
3561.230,-11.398,1.734,9.087
3562.050,11.418,1.751,8.424
3562.870,1.741,1.767,7.866
3563.691,-1.102,1.793,10.824
3564.511,2.006,1.900,9.727
3565.332,0.586,1.956,8.789
3566.153,-1.227,1.813,8.420
3566.974,6.111,1.768,8.053
3567.796,7.488,1.807,7.732
3568.617,7.754,1.828,7.267
3569.439,4.078,1.808,7.174
3570.261,0.133,1.745,6.893
3571.083,2.033,1.681,6.651
3571.906,2.799,1.766,6.623
3572.728,-1.138,1.826,6.481
3573.551,3.073,1.789,6.750
3574.374,4.225,1.778,6.902
3575.197,-0.405,1.788,7.567
3576.021,-0.973,1.718,7.707
3576.844,3.598,1.707,7.649
3577.668,0.259,1.720,7.672
3578.492,0.230,1.699,7.560
3579.316,2.242,1.702,7.133
3580.140,0.319,1.726,6.218
3580.964,-3.938,1.701,5.491
3581.789,0.013,1.697,5.268
3582.614,-0.324,1.739,5.398
3583.439,0.993,1.796,5.493
3584.264,-0.008,1.803,5.123
3585.089,-0.111,1.771,4.501
3585.915,3.069,1.752,4.504
3586.741,-3.633,1.723,4.879
3587.567,-0.088,1.727,5.378
3588.393,-2.008,1.755,5.565
3589.219,-1.343,1.751,6.222
3590.046,3.392,1.745,6.757
3590.873,3.293,1.789,7.352
3591.700,-0.089,1.759,7.777
3592.527,-0.444,1.753,7.653
3593.354,3.077,1.793,7.386
3594.181,3.844,1.758,6.940
3595.009,2.453,1.710,7.705
3595.837,2.932,1.790,8.465
3596.665,1.856,1.784,8.540
3597.493,6.406,1.762,8.282
3598.322,2.812,1.703,7.919
3599.150,-0.189,1.674,8.062
3599.979,-1.716,1.695,8.496
3600.808,-5.238,1.695,8.062
3601.638,0.630,1.646,7.615
3602.467,-4.228,1.671,6.367
3603.297,1.294,1.735,6.362
3604.126,5.380,1.729,6.513
3604.956,1.322,1.685,6.618
3605.786,-2.503,1.715,6.759
3606.617,-2.847,1.744,6.847
3607.447,-3.367,1.688,6.603
3608.278,-0.123,1.740,5.829
3609.109,2.333,1.753,5.289
3609.940,2.545,1.718,5.344
3610.771,2.145,1.775,5.824
3611.603,-0.366,1.740,6.291
3612.435,3.499,1.701,7.419
3613.267,-0.983,1.664,7.316
3614.099,-4.203,1.649,7.401
3614.931,-0.643,1.649,7.725
3615.763,1.987,1.659,8.756
3616.596,-1.616,1.724,9.100
