Wavelength,Flux,BestFit,SkyFlux
3565.332,-6.216,2.626,0.000
3566.153,-6.215,2.594,0.000
3566.974,-6.214,2.608,0.000
3567.796,-6.214,2.688,0.000
3568.617,-6.213,2.737,0.000
3569.439,-6.212,2.716,0.000
3570.261,-6.211,2.650,0.000
3571.083,-6.211,2.564,0.000
3571.906,-6.210,2.515,0.000
3572.728,-6.209,2.475,0.000
3573.551,-6.208,2.214,0.000
3574.374,-6.208,2.130,0.000
3575.197,-6.207,2.274,0.000
3576.021,-6.206,2.530,0.000
3576.844,-6.206,2.684,0.000
3577.668,-6.205,2.644,0.000
3578.492,-6.204,2.749,0.000
3579.316,-6.203,2.858,0.000
3580.140,-6.203,2.913,0.000
3580.964,-6.202,2.872,0.000
3581.789,-6.201,2.791,0.000
3582.614,-6.200,2.775,0.000
3583.439,-6.200,2.775,0.000
3584.264,-6.199,2.765,0.000
3585.089,-6.198,2.777,0.000
3585.915,-6.197,2.768,0.000
3586.741,-6.197,2.771,0.000
3587.567,-6.196,2.852,0.000
3588.393,-6.195,2.887,0.000
3589.219,-6.194,2.820,0.000
3590.046,-6.194,2.712,0.000
3590.873,-6.193,2.735,0.000
3591.700,-6.192,2.825,0.000
3592.527,-6.192,2.786,0.000
3593.354,-6.191,2.809,0.000
3594.181,-6.190,2.868,0.000
3595.009,-6.189,2.880,0.000
3595.837,-6.189,2.917,0.000
3596.665,-6.188,2.994,0.000
3597.493,-6.187,3.014,0.000
3598.322,-6.186,2.990,0.000
3599.150,-6.186,3.075,0.000
3599.979,-6.185,3.106,0.000
3600.808,-6.184,3.055,0.000
3601.638,-6.183,3.014,0.000
3602.467,-6.183,3.040,0.000
3603.297,-6.182,3.022,0.000
3604.126,-6.181,3.046,0.000
3604.956,-6.181,3.011,0.000
3605.786,-6.180,3.058,0.000
3606.617,-6.179,3.168,0.000
3607.447,-6.178,3.146,3.000
3608.278,-6.178,3.106,2.104
3609.109,7.525,3.038,1.809
3609.940,5.601,3.004,1.649
3610.771,3.524,3.017,1.627
3611.603,-0.090,3.034,1.756
3612.435,-3.214,3.052,2.101
3613.267,-10.159,3.173,2.391
3614.099,-11.454,3.233,2.881
3614.931,1.475,3.290,3.377
3615.763,1.428,3.288,3.819
3616.596,-1.978,3.241,4.264
3617.429,9.413,3.246,4.757
3618.262,7.332,3.259,5.094
3619.095,-2.338,3.322,5.421
3619.929,7.672,3.243,5.604
3620.762,0.759,3.195,5.580
3621.596,7.468,3.204,5.282
3622.430,3.153,3.117,4.758
3623.264,3.520,3.142,3.928
3624.099,4.456,3.201,3.497
3624.933,-6.719,3.215,3.779
3625.768,13.367,3.200,4.251
3626.603,0.621,3.194,4.557
3627.438,-2.811,3.210,4.355
3628.273,2.556,3.232,3.743
3629.109,3.318,3.330,3.768
3629.945,-0.215,3.384,4.736
3630.781,-3.362,3.437,5.920
3631.617,7.025,3.517,6.852
3632.453,9.702,3.528,7.149
3633.289,6.889,3.382,6.352
3634.126,1.323,3.356,5.921
3634.963,-6.507,3.363,6.697
3635.800,-1.086,3.348,8.501
3636.637,-6.656,3.289,8.873
3637.475,1.590,3.217,7.600
3638.313,9.368,3.272,5.687
3639.150,5.771,3.330,5.626
3639.988,0.986,3.266,6.269
3640.827,-0.722,3.249,6.068
3641.665,0.854,3.288,6.141
3642.504,2.695,3.210,6.309
3643.343,5.263,3.152,5.918
3644.182,2.628,3.118,5.196
3645.021,-6.563,3.205,4.999
3645.860,-0.435,3.303,5.287
3646.700,-0.036,3.315,5.172
3647.539,2.067,3.298,4.730
3648.379,4.415,3.362,4.535
3649.220,1.570,3.327,5.439
3650.060,-1.996,3.232,8.030
3650.901,8.085,3.201,9.608
3651.741,-0.525,3.280,9.185
3652.582,-1.414,3.382,7.277
3653.423,2.786,3.381,5.517
3654.265,4.076,3.365,5.485
3655.106,4.856,3.426,6.966
3655.948,4.722,3.452,6.464
3656.790,2.716,3.385,5.174
3657.632,2.258,3.289,4.394
3658.474,0.723,3.198,4.596
3659.317,-1.069,3.308,5.220
3660.159,-0.780,3.424,5.274
3661.002,-4.484,3.479,4.878
3661.845,1.217,3.503,5.576
3662.689,6.173,3.537,6.117
3663.532,6.967,3.589,6.027
3664.376,7.172,3.536,5.715
3665.220,7.406,3.508,5.976
3666.064,0.495,3.563,5.335
3666.908,5.698,3.612,3.523
3667.752,7.247,3.541,2.920
3668.597,2.904,3.426,3.563
3669.442,0.675,3.461,4.099
3670.287,3.513,3.472,3.433
3671.132,0.721,3.459,2.631
3671.977,1.253,3.486,3.004
3672.823,9.561,3.573,3.303
3673.669,5.807,3.737,3.281
3674.515,-4.447,3.881,3.060
3675.361,2.030,3.943,2.744
3676.207,5.641,3.935,2.629
3677.054,7.328,3.872,2.515
3677.901,1.872,3.773,2.717
3678.748,0.300,3.725,2.811
3679.595,3.737,3.816,2.673
3680.442,3.452,3.835,2.339
3681.290,6.877,3.800,2.154
3682.137,1.797,3.793,2.156
3682.985,6.011,3.865,2.349
3683.834,6.905,4.086,2.440
3684.682,3.140,4.245,2.479
3685.530,6.087,4.157,2.418
3686.379,-2.489,4.027,2.297
3687.228,0.881,4.026,2.022
3688.077,1.072,4.075,1.535
3688.926,1.180,4.046,1.425
3689.776,5.896,4.133,1.893
3690.626,8.135,4.194,2.513
3691.476,0.486,4.211,2.858
3692.326,-0.811,4.250,2.714
3693.176,4.366,4.339,2.607
3694.026,6.045,4.389,2.764
3694.877,2.018,4.335,2.832
3695.728,1.106,4.297,2.520
3696.579,7.684,4.351,2.202
3697.430,2.324,4.470,2.489
3698.282,0.157,4.602,3.876
3699.133,5.029,4.773,5.012
3699.985,10.129,4.772,5.161
3700.837,7.998,4.790,5.352
3701.690,1.134,4.804,5.704
3702.542,8.961,4.690,5.516
3703.395,2.065,4.471,4.982
3704.248,-0.426,4.390,5.005
3705.101,8.370,4.177,4.485
3705.954,7.776,4.138,4.096
3706.807,5.318,4.289,4.365
3707.661,4.232,4.530,4.479
3708.515,1.167,4.766,4.038
3709.369,4.971,4.814,3.691
3710.223,9.632,4.881,4.317
3711.077,3.428,4.994,4.161
3711.932,8.870,5.112,3.806
3712.787,8.135,5.250,3.504
3713.642,5.718,5.447,3.761
3714.497,5.779,5.617,4.410
3715.352,5.483,5.606,4.578
