Wavelength,Flux,BestFit,SkyFlux
3798.394,4.065,3.291,0.000
3799.269,4.065,3.234,0.000
3800.144,4.065,3.178,0.000
3801.019,4.065,3.144,0.000
3801.894,4.065,3.119,0.000
3802.769,4.065,3.091,0.000
3803.645,4.065,3.051,0.000
3804.521,4.065,2.955,7.833
3805.397,4.066,2.956,7.706
3806.274,2.507,2.970,7.614
3807.150,2.387,2.914,7.664
3808.027,1.684,2.830,7.731
3808.904,1.688,2.789,7.711
3809.781,1.510,2.689,7.894
3810.658,2.626,2.697,7.989
3811.536,1.856,2.755,8.188
3812.414,1.819,2.763,8.337
3813.291,1.988,2.757,8.436
3814.170,3.731,2.878,8.555
3815.048,6.445,2.899,8.709
3815.926,5.059,2.805,8.788
3816.805,5.789,2.848,8.869
3817.684,3.002,2.991,8.805
3818.563,4.691,3.017,8.769
3819.443,2.587,3.073,8.673
3820.322,1.962,3.070,8.488
3821.202,2.067,3.001,8.270
3822.082,1.926,2.922,7.961
3822.962,3.264,2.841,7.543
3823.843,4.471,2.755,7.073
3824.723,3.631,2.744,6.579
3825.604,3.919,2.689,6.148
3826.485,5.116,2.702,6.094
3827.366,4.523,2.725,6.982
3828.247,2.662,2.706,9.098
3829.129,5.203,2.697,11.525
3830.011,6.009,2.752,13.654
3830.893,2.503,2.761,14.821
3831.775,3.413,2.774,15.017
3832.657,5.447,2.803,14.193
3833.540,5.616,2.865,13.162
3834.423,4.301,2.945,12.353
3835.306,0.934,2.939,11.739
3836.189,3.641,2.879,11.705
3837.072,0.700,3.003,11.411
3837.956,-0.195,3.075,10.665
3838.840,2.291,3.049,9.680
3839.724,0.147,3.110,8.935
3840.608,2.489,3.157,8.845
3841.493,5.208,3.132,9.331
3842.377,4.076,3.119,9.806
3843.262,2.495,3.104,9.719
3844.147,0.710,3.044,9.560
3845.032,-0.090,2.988,9.855
3845.918,1.086,3.078,10.625
3846.803,2.547,3.118,10.797
3847.689,2.228,3.250,9.545
3848.575,1.835,3.308,8.090
3849.462,4.240,3.231,7.901
3850.348,1.955,3.154,8.434
3851.235,3.777,3.113,8.364
3852.122,3.644,3.131,8.037
3853.009,4.414,3.172,7.417
3853.896,4.950,3.303,6.860
3854.784,3.827,3.454,7.053
3855.671,2.049,3.492,7.623
3856.559,1.765,3.511,7.891
3857.447,3.577,3.445,7.779
3858.336,2.892,3.362,6.911
3859.224,6.141,3.368,5.882
3860.113,2.361,3.411,5.429
3861.002,3.574,3.397,5.925
3861.891,5.376,3.436,7.006
3862.780,4.032,3.426,7.889
3863.670,2.652,3.337,8.061
3864.560,3.019,3.307,7.705
3865.449,3.749,3.333,7.257
3866.340,3.847,3.304,7.141
3867.230,0.376,3.289,7.140
3868.121,4.818,3.360,6.793
3869.011,4.212,3.398,6.235
3869.902,2.192,3.305,5.798
3870.793,3.317,3.170,5.220
3871.685,4.038,3.127,4.641
3872.576,3.290,3.086,4.595
3873.468,4.281,3.204,5.517
3874.360,3.652,3.363,6.712
3875.252,4.505,3.428,7.493
3876.145,2.557,3.390,7.429
3877.037,4.057,3.320,6.763
3877.930,3.221,3.250,6.148
3878.823,2.695,3.237,5.786
3879.717,4.218,3.248,5.639
3880.610,5.324,3.272,5.517
3881.504,5.903,3.292,4.824
3882.398,7.453,3.301,4.629
3883.292,3.228,3.325,5.396
3884.186,2.342,3.293,5.924
3885.080,0.872,3.282,6.006
3885.975,3.099,3.329,5.460
3886.870,3.620,3.365,4.973
3887.765,3.239,3.334,5.071
3888.660,2.754,3.327,5.952
3889.556,2.372,3.260,6.799
3890.451,3.598,3.264,7.002
3891.347,2.564,3.322,6.534
3892.243,2.929,3.372,5.956
3893.140,3.404,3.395,5.820
3894.036,1.028,3.398,6.118
3894.933,2.448,3.372,6.561
3895.830,3.008,3.378,6.695
3896.727,3.739,3.389,6.553
3897.625,4.646,3.391,6.387
3898.522,2.701,3.386,6.231
3899.420,5.670,3.326,6.528
3900.318,4.244,3.318,6.881
3901.216,3.052,3.372,6.975
3902.114,3.861,3.340,7.017
3903.013,5.800,3.285,7.434
