Wavelength,Flux,BestFit,SkyFlux
3562.870,23.131,1.187,0.000
3563.691,23.122,1.303,9.488
3564.511,17.539,1.280,9.895
3565.332,11.961,1.149,8.747
3566.153,-10.385,1.290,7.859
3566.974,2.982,1.424,6.990
3567.796,5.708,1.364,6.419
3568.617,-1.279,1.390,5.968
3569.439,3.742,1.471,5.675
3570.261,-5.049,1.532,5.392
3571.083,11.766,1.583,5.139
3571.906,3.826,1.547,5.014
3572.728,-0.633,1.433,4.934
3573.551,3.511,1.462,4.909
3574.374,4.891,1.500,5.062
3575.197,10.499,1.468,5.229
3576.021,-1.974,1.442,5.484
3576.844,-2.246,1.361,5.774
3577.668,-0.503,1.312,6.059
3578.492,-0.780,1.474,5.848
3579.316,1.311,1.556,5.444
3580.140,3.306,1.480,4.948
3580.964,7.116,1.472,4.561
3581.789,-3.921,1.469,4.503
3582.614,2.565,1.449,4.864
3583.439,9.024,1.566,4.936
3584.264,-3.556,1.626,4.250
3585.089,2.106,1.553,3.377
3585.915,1.484,1.530,2.501
3586.741,3.655,1.641,2.354
3587.567,1.009,1.640,2.785
3588.393,0.449,1.651,3.940
3589.219,4.626,1.608,4.627
3590.046,-3.751,1.621,4.822
3590.873,0.086,1.793,4.722
3591.700,3.915,1.655,4.490
3592.527,3.554,1.684,4.589
3593.354,1.170,1.650,4.729
3594.181,0.452,1.586,4.689
3595.009,1.409,1.564,4.504
3595.837,-5.600,1.546,4.285
3596.665,3.087,1.550,4.242
3597.493,2.133,1.580,4.046
3598.322,-2.234,1.484,3.815
3599.150,3.661,1.354,3.736
3599.979,-1.175,1.238,3.860
3600.808,-1.202,1.144,4.044
3601.638,2.540,1.281,4.244
3602.467,4.904,1.473,4.012
3603.297,3.616,1.595,3.813
3604.126,2.619,1.612,3.477
3604.956,6.986,1.590,3.424
3605.786,1.760,1.569,3.708
3606.617,-2.601,1.423,3.894
3607.447,-0.637,1.415,3.722
3608.278,1.273,1.393,3.267
3609.109,0.180,1.385,2.752
3609.940,5.887,1.432,2.549
3610.771,9.039,1.429,2.881
3611.603,0.633,1.286,3.485
3612.435,-1.544,1.380,3.914
3613.267,4.159,1.254,4.212
3614.099,4.682,1.199,4.681
3614.931,-1.893,1.335,5.638
3615.763,5.742,1.324,7.011
3616.596,1.690,1.213,8.751
3617.429,-0.251,1.336,9.033
3618.262,4.332,1.443,7.969
3619.095,4.927,1.426,7.440
3619.929,-1.636,1.347,7.331
3620.762,-1.760,1.329,7.168
3621.596,5.841,1.407,6.403
3622.430,4.456,1.326,6.154
3623.264,1.130,1.346,7.235
3624.099,6.162,1.451,7.675
3624.933,3.672,1.503,7.190
3625.768,-2.060,1.457,6.564
3626.603,2.731,1.409,6.888
3627.438,0.575,1.395,7.083
3628.273,-2.141,1.474,6.882
3629.109,3.717,1.624,6.926
3629.945,-0.930,1.746,7.436
3630.781,4.892,1.699,8.199
3631.617,-0.443,1.472,8.752
3632.453,-2.402,1.581,10.008
3633.289,-0.678,1.721,9.639
3634.126,-0.529,1.699,8.534
3634.963,7.730,1.602,8.748
3635.800,-3.064,1.580,9.814
3636.637,5.149,1.552,9.516
3637.475,6.381,1.661,9.360
3638.313,1.669,1.757,8.887
3639.150,4.914,1.628,8.623
3639.988,-2.347,1.456,8.547
3640.827,1.390,1.530,8.557
3641.665,2.352,1.477,9.039
3642.504,2.264,1.450,8.262
3643.343,3.867,1.548,7.085
3644.182,5.942,1.542,6.248
3645.021,5.885,1.460,6.070
3645.860,-1.739,1.562,6.500
3646.700,5.035,1.649,6.951
3647.539,4.768,1.507,6.512
3648.379,-1.832,1.491,7.284
3649.220,-0.236,1.511,9.062
3650.060,2.004,1.436,10.830
3650.901,6.784,1.339,11.598
3651.741,-2.018,1.287,10.510
3652.582,0.087,1.227,7.795
3653.423,3.174,1.280,7.195
3654.265,-5.023,1.198,8.064
3655.106,6.739,1.032,8.323
3655.948,-0.360,1.102,7.383
3656.790,4.384,1.181,6.029
3657.632,3.382,1.156,5.842
3658.474,-0.082,1.180,6.531
3659.317,4.012,1.299,7.472
3660.159,-4.299,1.405,7.717
3661.002,3.461,1.371,7.657
3661.845,-0.549,1.259,7.690
3662.689,-1.992,1.233,8.367
3663.532,0.733,1.114,8.665
3664.376,-0.342,1.094,8.257
3665.220,3.929,1.250,7.354
3666.064,0.729,1.364,6.357
3666.908,-2.267,1.338,5.495
3667.752,1.783,1.400,4.907
3668.597,4.292,1.298,4.377
3669.442,-0.085,1.292,4.305
3670.287,3.625,1.428,4.724
3671.132,4.160,1.431,5.033
3671.977,0.144,1.442,4.901
3672.823,1.609,1.349,4.587
3673.669,4.366,1.309,4.390
3674.515,1.217,1.313,4.142
3675.361,1.614,1.325,3.947
3676.207,2.300,1.331,4.005
3677.054,2.853,1.247,4.151
3677.901,1.898,1.247,4.255
3678.748,-0.970,1.107,4.410
3679.595,-2.253,0.960,4.190
3680.442,2.344,0.974,3.483
3681.290,-0.183,1.077,2.909
3682.137,1.317,1.076,2.842
3682.985,-0.655,1.223,3.265
3683.834,-2.103,1.229,3.625
3684.682,3.192,1.217,3.827
3685.530,2.530,1.272,3.899
3686.379,3.081,1.247,3.940
3687.228,0.920,1.134,3.978
3688.077,0.828,1.064,3.712
3688.926,2.006,1.027,3.528
3689.776,1.158,1.045,3.474
3690.626,1.723,1.113,3.448
3691.476,-0.827,1.129,3.495
3692.326,-0.353,0.985,3.699
3693.176,1.884,1.012,3.894
3694.026,2.680,0.976,3.878
3694.877,0.707,1.001,3.808
3695.728,-1.945,1.143,3.584
3696.579,0.691,1.210,3.552
3697.430,1.787,1.146,4.325
3698.282,3.594,1.131,5.346
3699.133,4.031,1.071,6.227
3699.985,0.967,1.039,6.898
3700.837,1.727,1.024,7.541
3701.690,1.289,0.976,7.122
3702.542,0.642,1.137,7.013
3703.395,0.824,1.229,7.373
3704.248,1.344,1.231,7.491
3705.101,1.830,1.161,6.996
3705.954,3.440,1.105,5.962
3706.807,4.393,1.125,5.372
3707.661,0.124,1.068,6.320
3708.515,-0.634,1.073,6.146
3709.369,1.108,1.059,5.567
3710.223,-0.337,1.029,5.347
3711.077,0.268,1.020,5.963
3711.932,-1.722,1.069,5.950
3712.787,0.676,1.202,5.555
3713.642,1.089,1.196,5.409
3714.497,-0.454,1.140,5.599
3715.352,0.467,1.061,5.616
3716.208,-0.212,0.970,5.321
3717.064,-1.149,0.916,4.658
3717.920,0.029,0.913,4.239
3718.776,-1.065,0.894,4.459
3719.632,-1.819,0.951,4.088
3720.489,1.275,0.943,3.570
3721.346,0.839,0.862,3.493
3722.203,0.792,0.847,4.119
3723.060,0.091,0.776,4.410
3723.917,0.206,0.714,4.332
3724.775,0.365,0.645,4.003
3725.632,-0.532,0.713,3.990
3726.490,-0.445,0.829,4.307
3727.348,-4.135,0.795,4.649
3728.207,-1.667,0.888,4.419
3729.065,1.025,0.828,4.581
3729.924,1.249,0.803,5.313
3730.783,2.281,0.781,5.837
3731.642,2.894,0.750,6.652
3732.502,-0.892,0.790,7.639
3733.361,0.244,0.786,8.391
3734.221,0.513,0.711,7.877
3735.081,0.279,0.686,7.558
3735.941,2.442,0.696,7.161
3736.801,-0.844,0.714,7.156
3737.662,1.432,0.764,7.621
3738.523,1.621,0.810,8.696
3739.383,1.136,0.715,9.670
3740.245,0.375,0.697,9.480
3741.106,-0.316,0.665,9.709
3741.967,4.317,0.612,9.232
3742.829,3.166,0.680,8.633
3743.691,0.733,0.748,7.998
3744.553,1.808,0.793,7.142
3745.415,2.980,0.775,6.652
3746.278,-0.043,0.738,6.620
3747.141,-1.550,0.798,6.550
3748.004,-0.735,0.946,5.845
3748.867,0.306,0.872,5.341
3749.730,-0.261,1.001,5.528
3750.594,1.195,1.139,5.919
3751.457,5.635,1.080,5.524
3752.321,3.045,0.925,5.483
3753.185,1.016,0.875,5.482
3754.050,0.377,0.758,6.061
3754.914,0.823,0.714,6.718
3755.779,1.431,0.724,6.835
3756.644,0.835,0.735,6.011
3757.509,-0.533,0.765,5.009
3758.374,3.143,0.877,4.609
3759.240,0.299,1.020,4.740
3760.105,0.212,0.917,4.788
3760.971,3.066,0.801,4.653
3761.837,1.348,0.704,4.284
3762.704,1.026,0.685,3.947
3763.570,0.171,0.800,4.013
3764.437,0.891,0.722,4.109
3765.304,1.115,0.646,3.996
3766.171,1.478,0.615,3.978
3767.038,2.863,0.496,4.014
3767.905,0.798,0.366,3.802
3768.773,0.723,0.394,3.113
3769.641,0.714,0.311,3.088
3770.509,-0.022,0.268,3.548
3771.377,0.508,0.346,4.391
3772.246,2.138,0.576,4.968
3773.115,-0.845,0.773,5.236
3773.984,-1.884,0.735,5.290
